Full Name,Weight,Matchup,Outcome,Method,Round,Time,Method Summary,Match Summary,Predicted Match Summary
Desmond Green,155 lbs.,Josh Emmett,WIN,S-DEC,3.0,5:00,Decision,Desmond Green Decision Win,Josh Emmett Decision Win
Devin Clark,205 lbs.,Ion Cutelaba,LOSS,U-DEC,3.0,5:00,Decision,Ion Cutelaba Decision Win,Devin Clark Decision Win
Devin Cole,240 lbs.,Daniel Cormier,LOSS,U-DEC,3.0,5:00,Decision,Daniel Cormier Decision Win,Devin Cole Decision Win
Devonte Smith,155 lbs.,Joe Lowry,WIN,KO/TKO,1.0,2:52,KO,Devonte Smith KO Win,Devonte Smith KO Win
Dhiego Lima,170 lbs.,Luke Jumeau,WIN,S-DEC,3.0,5:00,Decision,Dhiego Lima Decision Win,Luke Jumeau Decision Win
Diego Brandao,145 lbs.,Jimy Hettes,WIN,KO/TKO,1.0,5:00,KO,Diego Brandao KO Win,Diego Brandao KO Win
Diego Ferreira,155 lbs.,Beneil Dariush,LOSS,S-DEC ,3.0,5:00,Decision,Beneil Dariush Decision Win,Beneil Dariush Decision Win
Diego Nunes,145 lbs.,Dennis Siver,LOSS,U-DEC,3.0,5:00,Decision,Dennis Siver Decision Win,Diego Nunes Decision Win
Diego Sanchez,170 lbs.,Jake Ellenberger,LOSS,U-DEC ,3.0,5:00,Decision,Jake Ellenberger Decision Win,Diego Sanchez Decision Win
Din Thomas,155 lbs.,BJ Penn,LOSS,KO/TKO,1.0,2:42,KO,BJ Penn KO Win,Din Thomas Decision Win
Dokonjonosuke Mishima,155 lbs.,Charles Bennett,WIN,SUB,1.0,4:04,Submission,Dokonjonosuke Mishima Submission Win,Charles Bennett Submission Win
Dominick Cruz,135 lbs.,TJ Dillashaw,WIN,S-DEC ,5.0,5:00,Decision,Dominick Cruz Decision Win,Dominick Cruz Decision Win
Dominick Reyes,205 lbs.,Jan Blachowicz,LOSS,KO/TKO,2.0,4:36,KO,Jan Blachowicz KO Win,Jan Blachowicz KO Win
Dominique Steele,170 lbs.,Danny Roberts,LOSS,U-DEC ,3.0,5:00,Decision,Danny Roberts Decision Win,Danny Roberts Decision Win
Don Frye,219 lbs.,Hidehiko Yoshida,LOSS,SUB,1.0,5:32,Submission,Hidehiko Yoshida Submission Win,Don Frye KO Win
Don'Tale Mayes,260 lbs.,Allen Crowder,LOSS,KO/TKO,3.0,4:12,KO,Allen Crowder KO Win,Don'Tale Mayes KO Win
Donald Cerrone,155 lbs.,Charles Oliveira,WIN,KO/TKO ,1.0,3:01,KO,Donald Cerrone KO Win,Charles Oliveira Submission Win
